factors,regularization,mean_ap,mean_ndcg,mean_diversity,mean_novelty,co2e,map_c,ndcg_c,time
30,0.001,0.4320818939057845,0.5754508083331477,8.596886386220604,9.404259686742918,0.0013907791649301847,28428.929699427157,37298.01891571311,0.23403120040893555
30,0.01,0.43164444774511534,0.5748093886100495,8.575024842663133,9.405308071372778,0.0013597855257491272,29044.74105900128,38100.98331521319,0.22881579399108887
30,0.1,0.433211577969369,0.5759572471104584,8.564590924147069,9.400146267752843,0.0014837133263548216,26724.388606121,34995.94602041032,0.24966955184936523
50,0.001,0.4321101821922571,0.5751849863871892,8.777740973832396,9.518089806487088,0.001988714827845494,19882.786301097316,26070.46756055962,0.33464789390563965
50,0.01,0.4281594826523233,0.5715712526620037,8.77393176548526,9.51886707996478,0.001770467184484005,22110.61708737125,29080.093935226763,0.29792261123657227
50,0.1,0.4273147344626637,0.5696875433662174,8.723087114938721,9.524415382296226,0.0017517831561466059,22298.220545081607,29282.72310671748,0.29477858543395996
100,0.001,0.4020837804470237,0.5419639689456403,8.84266313348791,9.739553659035558,0.002120817864934603,17228.519414833787,22880.14660037356,0.35687732696533203
100,0.01,0.4042794869548795,0.5461664116538906,8.839516396157668,9.739714104582015,0.0022011066215733687,16699.83727815181,22236.48207383694,0.3703877925872803
100,0.1,0.4019860866273074,0.5430104259397924,8.872639947002318,9.738213000560851,0.0021915981272856394,16667.64628267981,22188.95369382297,0.3687877655029297
150,0.001,0.38233763067904275,0.5199671886343158,8.812851937727725,9.913244649997955,0.0028222559889157614,12246.917685816528,16414.154425821373,0.4749107360839844
150,0.01,0.3843341105871763,0.5232157465464953,8.832394832726068,9.91520309251715,0.0027494297921657565,12643.925251127708,16967.08224934666,0.46265602111816406
150,0.1,0.38575388670214145,0.5223764584403354,8.858396820139118,9.900162337670448,0.0027284731330970927,12793.075351723395,17066.641429233176,0.45912957191467285
200,0.001,0.36070404966913594,0.49341078185216347,8.835872805564756,10.065412047674904,0.003612491066257159,8969.040501222074,12088.418809099596,0.6078863143920898
200,0.01,0.36361888101547296,0.49798183712989424,8.808877111626366,10.056270208461203,0.0037316851640741035,8760.669879906267,11824.794574214544,0.6279435157775879
200,0.1,0.3633944126520106,0.49588575130469753,8.78618747929778,10.067456273007872,0.0036872300133109093,8860.205320501691,11910.513241582688,0.6204628944396973
