factors,regularization,mean_ap,mean_ndcg,mean_diversity,mean_novelty,co2e,map_c,ndcg_c,time
30,0.001,0.432095332666147,0.5757808564550035,8.568400132494203,9.40601280986805,0.00418757274432569,9727.029730939748,12835.35122652176,0.5716454982757568
30,0.01,0.4323752567930612,0.5758774893380952,8.609473335541571,9.403029276279328,0.0019037098393284721,21411.160543036614,28238.87818287592,0.23226165771484375
30,0.1,0.4334941145191907,0.5760009843647037,8.577012255713813,9.401596648638181,0.0011401044949308592,35849.80407634652,47163.20301347532,0.15920686721801758
50,0.001,0.42703222717448086,0.5704370741128374,8.767638290824776,9.518700374411011,0.001986842102793171,20246.366824424927,26783.501643639585,0.21529126167297363
50,0.01,0.42679776554359644,0.5706158611257812,8.791321629678702,9.5099377981973,0.0022368449304934323,17973.033053929852,23798.014203588493,0.21293139457702637
50,0.1,0.4298832790986294,0.5739614560964549,8.751407750910898,9.515384309294415,0.0022435918543992146,18056.510210777735,23875.566680785203,0.24515032768249512
100,0.001,0.40272020555274846,0.5442672554985488,8.85442199403776,9.737009383381109,0.00319109912078138,11843.92287505456,15855.855599996192,0.2921483516693115
100,0.01,0.40393794094318664,0.5446738717326118,8.871315004968533,9.731989909385561,0.0033038302680435754,11476.650534679586,15327.13982845646,0.2901420593261719
100,0.1,0.4017980863784434,0.5446367950210749,8.881417687976151,9.728873036941197,0.0032745173008268806,11514.039014616852,15463.213709040641,0.3100447654724121
30,0.0001,0.43181289396808425,0.5744288961722213,8.56674395495197,9.402349420401283,0.0016830229222395778,24185.291939195824,31855.63917359392,0.2567737102508545
50,0.0001,0.4280173208150697,0.5717453084201266,8.820635972176218,9.518923089440117,0.0024585576968708255,16401.829190645145,21697.848386653077,0.2474958896636963
100,0.0001,0.39871790566606385,0.5395319454218229,8.85591255382577,9.740888517576261,0.0028796882952126465,12985.746390221462,17406.076879932047,0.3135497570037842
150,0.0001,0.3823526377537859,0.5190163071162541,8.853262669758198,9.917165594657835,0.004389135856706391,8147.019427219534,10952.614272055942,0.5215919017791748
150,0.001,0.38279891203656674,0.5197657275765293,8.836369658827426,9.910808019050036,0.0039022642250410855,9174.930362690639,12338.337768933496,0.4263174533843994
150,0.01,0.38678255548904233,0.5239569649550178,8.831069890692282,9.906140350643032,0.003813315432547444,9493.410001656888,12736.050470806947,0.41215944290161133
150,0.1,0.38073846756508306,0.517968742587483,8.818979794633984,9.904621247236063,0.00381320339168012,9335.184730006838,12579.385531319094,0.4092714786529541
