embedding_size,learning_rate,batch_size,map,ndcg,diversity,novelty,map_c,ndcg_c,co2e,time
8,0.001,256,0.11004318220056075,0.1701527183487802,8.46538588936734,10.49558031626589,27.037515848201082,41.81612385581801,0.2712709251058599,45.647692918777466
8,0.001,512,0.10846163780185827,0.16987771914938515,8.792480953958265,10.489358680171634,42.103497972690676,66.39084739381909,0.170445161147664,28.681394338607788
8,0.001,1024,0.13469305290479558,0.19616960901301603,7.987744286187479,10.257711786205572,77.89287452423615,110.84576563084734,0.12580713020265102,21.16999912261963
8,0.0001,256,0.12381291064878368,0.1842299238259483,8.868996356409408,10.535165937643795,31.820042173306685,46.57590213622482,0.27377288609743117,46.06870651245117
8,0.0001,512,0.11459541948611197,0.170075093649071,8.482278900298112,10.635493430368383,46.49610085691208,67.66197293511516,0.16753481521457433,28.191660404205322
8,0.0001,1024,0.1325268312810755,0.1960916519122392,8.77194435243458,10.068768651240418,85.73732441290022,124.69712479499056,0.11176995445539555,18.807915210723877
8,1e-05,256,0.11090197269147253,0.17089025020614526,8.637131500496853,10.538580627038751,28.000607074470647,43.08274907150354,0.26500750380381943,44.59372544288635
8,1e-05,512,0.11581815170586297,0.17197386466376163,8.011924478304074,10.831181311354047,40.29858817362217,58.70406895073577,0.1963341458303233,33.03782296180725
8,1e-05,1024,0.1265486826378269,0.1863167945029979,9.113448161642928,10.144645987431657,77.39884864966344,111.63907993701467,0.1160875405408442,19.53445029258728
16,0.001,256,0.11008347047184432,0.16996120435082482,8.530639284531302,10.646027887578706,26.401673608175656,40.741414829869086,0.2779566505042215,46.77272295951843
16,0.001,512,0.13622111218894128,0.19666117166136163,8.281218946671084,10.414853053781144,52.736257768538216,74.15476282913873,0.18871807285274067,31.756240129470825
16,0.001,1024,0.11910902029649974,0.17249488938208438,7.945346141106326,11.038783303524953,69.97238818137427,98.30275106988623,0.11777611084158221,19.818591833114624
16,0.0001,256,0.11191130555862261,0.16606623579576268,7.725240145743624,11.032821170388731,28.875531203918047,41.98069922136975,0.26047327820211646,43.83073568344116
16,0.0001,512,0.11191616236498653,0.17086333956052144,8.401623053991388,10.823245995287747,44.53501683872102,67.58333551071252,0.16889608418444793,28.42072582244873
16,0.0001,1024,0.11362045449367439,0.16558398638882335,8.359224908910235,10.629698640389398,56.94359001861044,80.5909868747338,0.13508490004763007,22.73120141029358
16,1e-05,256,0.11677950033386458,0.17255655525806093,7.900463729711825,10.8911688020419,29.910209665731337,43.265608644505384,0.26773880355680985,45.05333065986633
16,1e-05,512,0.1247442542030987,0.18248293032314095,8.282875124213316,10.579771826279753,44.907583007462144,64.14614658595706,0.19606041000907617,32.99176049232483
16,1e-05,1024,0.12015781209432758,0.1827604189075599,8.181848294137131,10.546166311643276,67.52328145355139,101.97533867456761,0.12360114535937708,20.798790454864502
32,0.001,256,0.12372000165492592,0.1783455618697174,8.381086452467704,10.922649238515232,33.503837111895024,46.827368019072594,0.2597366341377298,43.706778049468994
32,0.001,512,0.10454118733909244,0.16048588507312522,7.908082146406095,11.011088150754173,41.62508004065259,63.66703227236644,0.16298569141328337,27.42616367340088
32,0.001,1024,0.11396714546847059,0.16725651336333894,7.575024842663134,11.047324959859539,52.80846535957663,75.54636731456993,0.1463191215818127,24.621622562408447
32,0.0001,256,0.11687346650227631,0.17492232643757577,7.8805895992050345,10.829703381006464,27.8493918696426,41.05915434808488,0.28788852569585044,48.44399380683899
32,0.0001,512,0.12802099051685037,0.1845029102916625,8.24693607154687,10.753324052464732,55.09126406904573,77.08756803742929,0.165766259363542,27.894059419631958
32,0.0001,1024,0.12624014946783246,0.18437845990814852,8.362206028486254,10.596284744847463,64.71339359430583,92.26250664759297,0.1383668536928793,23.283467054367065
32,1e-05,256,0.11282849273823105,0.16720737917163117,7.90327923153362,11.005517090476054,28.152632573417502,40.85859762706196,0.2704195769478877,45.50443363189697
32,1e-05,512,0.10509163415651507,0.15949114094074326,7.995693938390195,10.912800558364331,41.220087682281736,61.940635952520914,0.16592243046686053,27.92033886909485
32,1e-05,1024,0.11644613216822587,0.17159291098844123,8.178535939052667,10.677056444588242,63.849037874161205,91.97323633448792,0.12490065941462915,21.01746416091919
64,0.001,256,0.1169441322681224,0.17092997506136706,8.219609142100033,10.838957210001302,31.814360802942254,45.28070446783226,0.25223159419000146,42.44387912750244
64,0.001,512,0.11405727679721578,0.16749371772548405,8.053825770122558,11.191147300493608,44.92283883622653,64.32827261155425,0.17220419716959198,28.97739338874817
64,0.001,1024,0.10517984204097154,0.16053670831907935,8.688141768797616,10.928098871707496,51.02748613284028,77.35834102164837,0.1342052771896124,22.583184242248535
64,0.0001,256,0.10642393040724467,0.15704032936261458,7.8521033454786355,11.002769347207925,26.062427046144666,37.499108397830334,0.2675332863293588,45.01874756813049
64,0.0001,512,0.11264818736187575,0.16756333508514767,8.093077177873468,10.938797811857562,42.63391064305134,62.22233336949438,0.17814440050845345,29.976971864700317
64,0.0001,1024,0.0969340473298738,0.14854419206225594,7.762669758198079,11.30257054105758,42.680486453135536,65.06428037361542,0.14113190711289644,23.748752117156982
64,1e-05,256,0.1184459698365382,0.17364946229379363,8.120735342828752,10.702896604477159,30.068627004507032,43.01009413502357,0.27187043489143253,45.74857449531555
64,1e-05,512,0.10664413301296405,0.16048104984547626,8.208015899304405,10.89328110780567,40.547714964665325,60.15173464777243,0.17250261880457401,29.027609825134277
64,1e-05,1024,0.10604950064932712,0.16055648812200163,7.891354753229546,11.067559415418973,55.71750587460571,83.42513657334297,0.12446938664466142,20.944892406463623
