embedding_size,learning_rate,batch_size,map,ndcg,diversity,novelty,map_c,ndcg_c,co2e,time;;;;;;;;
8,0.001,512,0.10952825523094027,0.167618835333532,8.60838581372224,10.64562143018212,29.781385629009204,45.44107210905935,0.28460518750182295,36.69597768783569;;;;;;;;
8,0.001,1024,0.1335990947680957,0.19564401098108772,8.561982101425256,10.101714998017025,59.21780174947724,85.62042211987674,0.18377954725109122,23.143150568008423;;;;;;;;
8,0.0001,512,0.11344295903460663,0.17809866176169126,8.747431223069274,10.288225248174534,38.69150102928699,61.00273647325454,0.229182300646926,28.566492795944214;;;;;;;;
8,0.0001,1024,0.12298265078137512,0.18101350166138233,9.321842890288366,10.438541939172659,51.23568495053297,74.45469211204819,0.19169015512399393,23.59208345413208;;;;;;;;
16,0.001,512,0.11119828248391408,0.17095456744027393,8.171859463042757,10.66705771395821,31.700567223358544,48.65826472657422,0.2726430573121448,33.20219087600708;;;;;;;;
16,0.001,1024,0.12724860490728948,0.18741433803905078,8.281239642028504,10.390374962541525,61.29426266908526,89.19222036721408,0.16719300245065039,20.221954345703125;;;;;;;;
16,0.0001,512,0.12025351929892887,0.18105536757252755,8.467683128936029,10.573898136116185,32.69846463227097,48.889223247824106,0.29201564523563267,35.07742619514465;;;;;;;;
16,0.0001,1024,0.11648011905200342,0.17355567860875887,8.203844879018893,10.622822283467304,45.616257958089406,67.27921758669069,0.20104944231814625,24.176598072052002;;;;;;;;
32,0.001,512,0.10890215476497404,0.1637498498569739,8.075571760026516,11.174303735864326,88.83153897510303,132.46467639475225,0.09471103271969267,30.8692524433136;;;;;;;;
32,0.001,1024,0.10907089214907413,0.16244330632899526,8.189426582698044,11.244828848636004,115.19267191238043,169.6450079704306,0.07318347940773483,23.660967111587524;;;;;;;;
32,0.0001,512,0.10533481457806128,0.15704302503316497,7.971163407358303,11.184640479192284,78.33263434400416,115.46002853395953,0.1028510383084932,33.327776193618774;;;;;;;;
32,0.0001,1024,0.11100115110493824,0.16538356718108269,8.396586012595293,11.026233643636955,134.04290902878907,197.5575211410272,0.06433183590902226,20.83476495742798;;;;;;;;
64,0.001,512,0.09984905092482993,0.15426286652962115,7.656778256546238,11.153840230628017,83.64231928746403,129.19711052096153,0.08976336948038811,28.88161826133728;;;;;;;;
64,0.001,1024,0.10057604241748264,0.1508134909170093,8.060656281073914,11.216646120963322,87.26851255285808,129.53465971983906,0.08686656089240546,28.06640386581421;;;;;;;;
64,0.0001,512,0.11561451049870881,0.17100502821793914,8.296320848525024,10.788882658024416,90.02297647403658,131.5120589758721,0.10091381915599272,32.53532385826111;;;;;;;;
64,0.0001,1024,0.11604709884727314,0.1708384001643887,8.622472654955253,10.736732024092518,139.27434316905425,202.24351094051175,0.06553842577855132,21.15078616142273;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
